nation,o_year,sum_profit
RUSSIA,1995,45740644.3937
RUSSIA,1994,44796065.9615
RUSSIA,1993,46910827.8383
RUSSIA,1992,44947826.6568
SAUDI ARABIA,1998,26948215.4224
SAUDI ARABIA,1997,45911505.1953
SAUDI ARABIA,1996,45865155.2979
SAUDI ARABIA,1995,43306240.424
SAUDI ARABIA,1994,45920256.6946
SAUDI ARABIA,1993,46023876.9461
SAUDI ARABIA,1992,46047311.9829
UNITED KINGDOM,1998,24803902.4236
UNITED KINGDOM,1997,45805124.7245
UNITED KINGDOM,1996,48573971.6039
UNITED KINGDOM,1995,47488074.4996
UNITED KINGDOM,1994,48078787.4106
UNITED KINGDOM,1993,47531542.4066
UNITED KINGDOM,1992,46557429.7847
UNITED STATES,1998,26294896.9739
UNITED STATES,1997,48386000.6262
UNITED STATES,1996,46836347.3016
UNITED STATES,1995,46950498.8496
UNITED STATES,1994,47478257.4906
UNITED STATES,1993,47474071.5219
UNITED STATES,1992,44552981.3778
VIETNAM,1998,27520776.9955
VIETNAM,1997,44618424.0753
VIETNAM,1996,44892757.6575
VIETNAM,1995,47986128.379
VIETNAM,1994,45702536.4137
VIETNAM,1993,46147417.3243
VIETNAM,1992,48794830.1364
