ps_partkey,value
122666,9471380.28
8600,9470704.11
58344,9468216.0
116053,9468091.62
158854,9466844.4
141935,9460422.64
169985,9453489.6
111391,9452761.2
79549,9449216.04
70202,9446717.07
99625,9439969.6
83892,9428160.41
69903,9426196.83
98762,9418382.4
147813,9417406.51
80944,9412983.12
142518,9411749.48
32319,9407827.2
147511,9399100.5
163075,9391164.32
111,9382317.55
35893,9377877.33
39352,9368183.3
1264,9366007.31
42819,9363564.6
168035,9362226.96
108290,9358479.53
97434,9350958.19
151018,9349358.6
92496,9345707.56
35738,9343254.57
187091,9341364.37
22249,9338531.57
3043,9332491.2
86941,9332014.08
186589,9331622.34
41809,9328831.66
93016,9327577.8
160291,9327249.0
161517,9326979.09
14607,9320969.7
70777,9320241.0
116593,9315043.98
1579,9313463.8
176883,9308887.65
163118,9297565.79
182892,9295282.15
53005,9289445.16
185179,9288350.59
87735,9281472.48
190975,9277276.32
169691,9276678.04
112244,9274928.34
91233,9274603.03
147287,9267532.12
117387,9267401.92
58015,9258817.4
35223,9258619.3
152820,9258282.0
124406,9244909.46
78568,9243352.76
103305,9242643.86
77213,9240350.4
133193,9225661.56
19550,9225537.51
52981,9219242.24
198444,9218188.8
12552,9214283.34
112412,9212148.3
45010,9208034.2
157216,9207174.48
87791,9204285.48
154653,9204081.63
60632,9203551.75
55510,9202088.42
55996,9198040.04
97675,9196362.0
23789,9192973.5
130557,9192704.46
168477,9192162.96
22137,9187980.91
144156,9187853.78
68762,9184405.8
64209,9183689.5
110872,9182945.67
57698,9181031.25
4691,9179050.68
197509,9175818.15
139988,9175341.42
76114,9172549.8
98535,9172012.97
77211,9170583.58
154397,9169479.72
39230,9165932.24
119507,9161831.25
147516,9161701.2
623,9160169.53
10260,9159320.21
59374,9158578.48
152581,9155640.96
41308,9150520.17
196656,9150089.64
155526,9150020.0
107272,9148233.91
64093,9145609.68
66679,9145495.92
72694,9139653.9
19769,9137665.24
27047,9133195.6
195078,9129509.64
153840,9126126.32
34761,9124940.1
165986,9123729.03
188314,9121587.0
168549,9120956.36
140185,9120262.1
86579,9118704.0
164251,9115169.94
91599,9113276.98
185982,9108702.86
128352,9105010.2
169517,9102400.46
103461,9095490.08
75791,9091970.01
163176,9085991.08
158271,9082084.32
20340,9076762.5
154596,9074586.6
50729,9064208.0
83425,9061952.31
182182,9061855.72
106256,9058558.32
186365,9057003.67
106682,9056846.3
130243,9055330.24
135125,9044101.44
5650,9042656.35
134450,9040087.68
51953,9030897.73
16768,9029145.84
93090,9027274.06
37679,9026464.61
28554,9020877.63
146810,9020119.68
74621,9019406.25
58054,9012145.65
55481,9011660.8
133015,9008581.5
43482,9008481.44
110387,9008026.37
161306,9007202.82
80800,9002523.28
130984,9000796.8
100970,8997197.5
130543,8993054.07
105886,8991488.51
153246,8991192.95
33011,8986806.15
61297,8982793.82
90916,8980429.5
102228,8971710.3
85125,8968278.68
176018,8967565.89
19245,8965411.42
146081,8964834.06
155415,8964376.84
108533,8962838.58
66294,8962672.9
89468,8962238.88
62682,8961564.24
169492,8958361.07
155737,8950434.35
160927,8948886.66
13470,8947949.76
62315,8946178.4
68629,8944838.21
154049,8940080.7
86963,8934089.12
148095,8929984.85
45308,8927737.5
100202,8927709.3
85363,8927682.3
8310,8924300.42
65860,8922346.5
5599,8920765.44
49393,8916827.59
183511,8912120.2
83206,8911453.2
54891,8910071.7
163531,8909001.42
8901,8908957.31
48110,8902132.64
135171,8895547.62
137264,8895263.41
130856,8892126.68
119599,8890586.1
22508,8889102.24
63990,8883890.4
49431,8879902.5
157810,8878500.9
197203,8878133.44
66585,8876029.12
83460,8872598.4
169808,8868938.34
62552,8865867.78
60185,8858161.06
18518,8855361.41
159997,8854514.0
123635,8854239.6
29913,8853970.5
138091,8852463.34
89846,8850135.61
92116,8847518.22
167024,8847031.35
105603,8845666.02
145155,8837954.95
7034,8833244.8
166476,8823523.74
143477,8820984.93
128572,8820960.0
107225,8820104.58
23004,8819779.5
121810,8819041.23
122981,8817220.46
68991,8810581.44
37211,8810474.22
88343,8810011.94
183465,8807120.4
97590,8806751.52
180185,8806129.5
110277,8803683.0
162898,8798087.46
148454,8790249.6
167040,8789438.25
173584,8788986.85
110944,8787825.97
128563,8787449.58
40729,8786528.96
55986,8786395.94
169324,8784848.27
147518,8783662.0
84772,8783591.1
32133,8782908.55
73375,8779386.57
98540,8777239.9
88036,8776127.01
88396,8775230.56
64797,8774991.73
67260,8773498.5
120835,8772329.24
164524,8770458.0
28036,8767782.19
191063,8765210.12
124923,8764060.86
60201,8763731.19
162480,8760173.37
157168,8759125.95
132290,8757200.52
161809,8753994.48
198802,8753191.2
12123,8752424.92
99408,8749873.44
71014,8747394.74
108286,8745211.47
81889,8740539.72
68370,8736770.0
43026,8736263.46
97692,8736150.06
188020,8734928.7
45962,8731079.28
86265,8730821.88
68298,8730811.44
55563,8728985.32
148760,8728507.2
3118,8727126.17
26787,8726870.74
27117,8726658.6
85642,8725251.63
5633,8717955.8
175405,8716342.95
164764,8715583.1
29633,8713781.11
1595,8710152.5
155556,8707448.14
122693,8705846.37
114923,8705535.28
129727,8705258.49
12110,8705241.77
100175,8704122.13
62817,8702151.94
11123,8699989.6
70623,8698063.14
19086,8689986.54
77368,8687348.55
180002,8684674.5
189533,8683693.24
169433,8679499.68
76059,8678165.52
4833,8678154.24
103682,8677365.08
182540,8673380.36
3484,8673047.75
29798,8672864.41
63733,8672439.95
187280,8671403.42
9833,8668156.44
131785,8666411.76
82973,8665760.74
118022,8662167.84
139771,8661535.33
51547,8658680.31
952,8658476.29
129643,8657416.95
125867,8653013.96
116994,8648605.68
114583,8644327.04
36103,8643826.59
135300,8640445.66
119091,8639842.68
160095,8637926.48
150172,8634910.85
117615,8634322.83
137294,8630148.59
61543,8628119.86
177786,8620691.48
84492,8619812.58
185704,8618731.52
177823,8617373.45
168500,8616501.14
46335,8616338.88
175195,8612009.64
165090,8611445.5
72799,8611441.8
53899,8610648.9
117663,8608803.27
63008,8607576.6
74456,8606528.56
175643,8605532.08
107692,8598975.06
97040,8598373.05
44895,8597695.34
113430,8597243.2
164871,8596455.38
43711,8595926.2
184607,8595118.57
191010,8594750.84
79199,8593667.7
70713,8590145.48
154744,8588306.62
129903,8587941.39
37972,8586951.88
54977,8586706.2
76719,8585746.08
70295,8584903.34
176969,8584640.96
84936,8584578.4
95532,8583895.1
101713,8581292.69
170484,8579201.06
189556,8577608.4
177480,8576449.4
188533,8576370.0
92012,8576236.8
45531,8575312.62
23306,8574117.6
10051,8572722.84
23067,8572542.48
91060,8566720.62
5184,8560476.4
143886,8558869.2
175599,8558222.4
84766,8555507.1
94210,8554900.77
122492,8553714.63
32252,8552577.6
140299,8552039.36
35714,8551972.8
156267,8551853.73
46360,8544387.1
39694,8544103.52
106488,8543737.44
88441,8543415.27
61184,8540105.63
137998,8539330.21
87616,8538821.74
172823,8538802.92
36502,8536574.37
147338,8536571.56
132242,8535323.52
64079,8534221.43
166617,8533865.2
124158,8531685.96
62255,8531321.0
98864,8530709.62
107697,8528745.89
183170,8527685.86
38909,8527082.5
83151,8526607.2
84526,8524721.94
166914,8523611.46
79509,8519572.68
118835,8511779.43
147434,8510613.99
170365,8507229.44
52142,8506720.98
92416,8498545.58
33029,8497158.02
49854,8492789.7
88602,8492477.88
187348,8489948.6
63121,8489609.89
87789,8488951.27
87000,8487261.0
195117,8486759.64
194406,8484090.54
88222,8483904.52
173433,8482622.97
199471,8481083.65
100617,8480701.13
176498,8480487.4
6009,8479918.08
48589,8479474.36
25847,8478766.76
23009,8476122.14
57495,8475029.2
9772,8464858.86
150603,8463727.8
156055,8463521.6
154338,8462673.89
98342,8460046.86
62322,8456097.16
104079,8455396.75
98132,8454137.27
124797,8453258.32
44212,8452851.99
76056,8451655.59
41956,8451069.75
87996,8451049.08
164562,8450860.95
37152,8449964.32
30724,8448481.5
11099,8446442.51
92099,8444148.4
155536,8442803.5
65323,8440580.38
174465,8438172.16
117333,8436696.32
135986,8433261.48
135346,8431913.0
61154,8431734.3
76869,8429286.25
90376,8428951.2
68853,8425231.04
198896,8425180.62
20093,8423935.46
96822,8422910.12
114787,8418712.4
78020,8418591.26
180409,8417030.2
107989,8411970.84
37692,8410813.71
168816,8409581.08
146264,8406149.52
105882,8405082.0
31962,8403017.56
48579,8402259.6
198840,8401202.7
97526,8399923.32
26720,8399605.68
65520,8399374.4
2713,8399102.15
172698,8398910.25
39902,8398373.96
119840,8397583.95
117329,8396892.79
63998,8396542.77
63842,8394066.72
15000,8390870.25
24899,8389212.3
97483,8381791.87
152349,8381005.78
45976,8380612.8
123343,8377312.04
74003,8375983.2
86126,8374097.46
26495,8370540.64
32315,8368697.37
95782,8366674.63
42131,8365721.43
137400,8364777.39
33209,8364694.24
11742,8362458.54
64331,8358052.78
40988,8354761.67
11917,8354573.36
33482,8353711.94
23294,8348498.24
101394,8348284.36
45005,8347336.91
183125,8346821.28
118283,8345138.33
149597,8344555.2
74908,8342746.94
78016,8342068.56
189025,8341084.29
28808,8340065.39
109844,8338858.2
76617,8337841.5
50559,8337837.45
51844,8335923.39
109231,8335627.17
196071,8335018.24
123573,8334131.52
182501,8331685.83
143081,8331636.16
165623,8331351.91
138865,8330999.2
41662,8327903.22
197107,8327506.2
161710,8325292.89
50121,8323341.3
77680,8322615.6
13570,8321324.22
159943,8319060.0
83908,8318740.2
154727,8317888.74
10594,8316687.94
59616,8316535.33
59203,8316070.02
126392,8315573.92
22229,8313306.21
5943,8311666.0
3563,8310111.25
103915,8309425.8
124602,8307615.57
156244,8307472.59
6038,8307460.09
143368,8307279.43
139963,8306119.24
71575,8302419.84
34466,8302159.32
185484,8300716.8
3005,8299637.01
159049,8299497.7
106936,8297731.68
8359,8297325.74
114226,8296542.68
145708,8294001.6
45362,8293696.32
51349,8292350.88
40185,8292040.75
56192,8291468.48
108068,8290698.18
60504,8289840.39
41135,8289821.55
181270,8288860.59
64438,8288186.9
146100,8286004.2
54343,8283718.2
180668,8282543.31
20984,8282394.89
168807,8282364.16
169830,8276851.8
149506,8276813.7
117592,8275976.94
49699,8275900.38
157813,8275456.8
69264,8273937.91
153660,8268510.25
65307,8267716.92
29569,8267559.9
187732,8265758.4
91008,8259911.55
153184,8257652.28
54197,8256408.64
94898,8256156.3
95084,8252706.0
123776,8248958.25
17034,8248910.6
