nation,o_year,sum_profit
JORDAN,1996,40031118.2944
JORDAN,1995,41180978.3826
JORDAN,1994,41505061.2346
JORDAN,1993,42381322.6923
JORDAN,1992,41346936.5801
KENYA,1998,26717345.0812
KENYA,1997,45176483.0307
KENYA,1996,44893771.7923
KENYA,1995,45472309.772
KENYA,1994,46117793.51
KENYA,1993,46637297.647
KENYA,1992,45645576.4642
MOROCCO,1998,27378368.0392
MOROCCO,1997,42703373.4154
MOROCCO,1996,39937520.3336
MOROCCO,1995,40891304.418
MOROCCO,1994,43922370.5266
MOROCCO,1993,43979063.6383
MOROCCO,1992,42710869.8325
MOZAMBIQUE,1998,26026741.7689
MOZAMBIQUE,1997,46525949.761
MOZAMBIQUE,1996,48574382.1528
MOZAMBIQUE,1995,49369582.4861
MOZAMBIQUE,1994,45461694.4196
MOZAMBIQUE,1993,46216276.8155
MOZAMBIQUE,1992,45565473.8603
PERU,1998,27074964.6327
PERU,1997,48991035.583
PERU,1996,51430926.5344
PERU,1995,52004969.4205
PERU,1994,50481006.0383
PERU,1993,48424953.6402
PERU,1992,50541938.4695
ROMANIA,1998,25789183.7901
ROMANIA,1997,43305810.2611
ROMANIA,1996,43543310.413
ROMANIA,1995,42794615.4614
ROMANIA,1994,45232062.362
ROMANIA,1993,44204588.5925
ROMANIA,1992,43787715.0669
RUSSIA,1998,27999230.6994
RUSSIA,1997,47108277.5116
RUSSIA,1996,48216030.0732
RUSSIA,1995,47390640.0792
RUSSIA,1994,49529752.8851
RUSSIA,1993,46867487.5151
RUSSIA,1992,47072248.0669
SAUDI ARABIA,1998,27632174.5653
SAUDI ARABIA,1997,49324212.6524
SAUDI ARABIA,1996,50251198.6496
SAUDI ARABIA,1995,50094599.1535
SAUDI ARABIA,1994,51331877.2811
SAUDI ARABIA,1993,51541919.0114
SAUDI ARABIA,1992,48325923.3613
UNITED KINGDOM,1998,27653247.0889
UNITED KINGDOM,1997,46132577.7151
UNITED KINGDOM,1996,47205329.9273
UNITED KINGDOM,1995,46810676.5364
UNITED KINGDOM,1994,47777822.8304
UNITED KINGDOM,1993,45503339.5735
UNITED KINGDOM,1992,46283906.9448
UNITED STATES,1998,25332565.7435
UNITED STATES,1997,46527591.0306
UNITED STATES,1996,44659620.6709
UNITED STATES,1995,46670753.3775
UNITED STATES,1994,47092641.7668
UNITED STATES,1993,43526859.4384
UNITED STATES,1992,44456951.7579
VIETNAM,1998,27553666.0842
VIETNAM,1997,45990990.0886
VIETNAM,1996,46503489.1143
VIETNAM,1995,45980641.5794
VIETNAM,1994,46179249.5954
VIETNAM,1993,47137874.3126
VIETNAM,1992,44594514.076
