l_orderkey,revenue,o_orderdate,o_shippriority
5437442,295446.8173,1995-02-06,0
2460612,295356.1482,1995-02-21,0
3990912,294221.975,1995-01-01,0
5001059,294001.4524,1995-02-16,0
1753668,293762.2428,1995-01-24,0
1653538,293490.4665,1995-01-16,0
5365990,293467.5034,1995-02-06,0
3149986,293231.0259,1995-02-05,0
292515,293165.5146,1995-01-30,0
5134951,292862.0678,1995-02-11,0
78916,292829.2556,1995-01-24,0
1724322,292809.7109,1995-02-28,0
2567781,292502.7449,1995-01-21,0
3679042,292483.9598,1995-02-26,0
3239938,292160.4034,1995-02-11,0
3805959,292050.1349,1995-02-22,0
4632644,292026.9708,1995-02-17,0
3359234,291844.9712,1995-02-09,0
415461,291400.1412,1995-02-19,0
237351,291282.0945,1995-02-28,0
3743301,291036.8348,1995-02-26,0
2800644,290601.413,1995-02-27,0
5555556,290305.874,1995-02-25,0
4030242,290193.949,1995-02-20,0
1267715,289794.9567,1995-02-21,0
4386593,289694.8314,1995-02-21,0
5466529,289594.8302,1995-03-02,0
3602311,289360.8109,1995-02-02,0
4830181,289321.5856,1995-02-28,0
2799269,289304.2008,1995-03-03,0
1497413,288912.637,1995-02-20,0
5525921,288708.1792,1995-02-12,0
1281540,288499.9956,1995-02-14,0
4023494,288236.1141,1995-02-20,0
2483172,288094.0451,1995-03-02,0
2778401,287575.5289,1995-01-01,0
5852871,287477.5976,1995-02-15,0
3017796,287223.4723,1995-01-24,0
2656353,286967.9954,1995-02-26,0
1102498,286692.5817,1995-02-28,0
2481798,286688.6406,1995-02-11,0
3751974,286465.594,1995-01-25,0
1353093,286137.3922,1995-02-24,0
4593410,285870.1261,1995-02-23,0
2795842,285686.8288,1995-02-15,0
1409445,285682.5926,1995-01-25,0
2990338,285291.1544,1995-02-28,0
4673252,285210.206,1995-02-24,0
4602305,284762.8201,1995-03-03,0
5952197,284696.7131,1995-02-19,0
4076839,284634.903,1995-02-26,0
2076419,283534.0206,1995-01-22,0
453216,283398.7096,1995-02-18,0
5790529,283197.0886,1995-02-16,0
4829443,282796.4971,1995-02-09,0
1944773,281659.2916,1995-02-23,0
3011303,281630.0502,1995-01-12,0
4152897,281420.6735,1995-03-03,0
2752356,281320.8724,1995-01-16,0
1887845,280560.9819,1995-02-28,0
5041601,280112.6938,1995-02-08,0
787460,279737.3996,1995-02-13,0
1555106,279543.7604,1995-03-03,0
4970948,279252.7866,1995-02-02,0
5638725,278903.777,1995-02-09,0
3670533,278783.0628,1995-01-31,0
5605157,278736.3758,1995-03-01,0
4599526,278706.9842,1995-01-25,0
4616231,278451.0695,1995-02-22,0
3311907,278398.1239,1995-02-27,0
274371,278374.6741,1995-03-01,0
2653408,278006.0809,1995-02-13,0
1529441,277857.5259,1995-03-02,0
139111,277786.3639,1995-02-27,0
3908802,277547.7086,1995-02-12,0
3001447,277527.068,1995-02-25,0
3063458,277509.2796,1995-02-12,0
2430433,277390.4562,1995-02-04,0
1388101,277364.1864,1995-02-25,0
5371840,277307.5352,1995-02-24,0
3811616,277244.8758,1995-02-10,0
4206275,277002.601,1995-03-03,0
5108353,276928.1122,1995-02-27,0
5250947,276753.3945,1995-02-28,0
410118,276612.8946,1995-02-13,0
5114242,276544.6478,1995-02-17,0
2765312,276448.9691,1995-02-23,0
935937,276173.0912,1995-02-27,0
5091810,275796.2206,1995-02-28,0
1644935,275784.4198,1995-03-02,0
2181696,275154.9762,1995-02-17,0
3327105,274990.9348,1995-02-28,0
1710215,274845.5653,1995-02-14,0
2099910,274695.2684,1995-02-10,0
5283975,274403.3612,1995-02-19,0
3042849,274214.1164,1995-02-12,0
3253188,274072.5688,1995-02-24,0
1996548,274068.3312,1995-02-24,0
3181315,274055.3978,1995-02-21,0
3313763,273871.4078,1994-11-27,0
4104773,273803.6851,1995-02-11,0
3262599,273485.0838,1995-02-10,0
4916228,273471.7987,1995-01-23,0
5186723,273457.0424,1995-02-14,0
2912164,273347.8953,1995-02-21,0
1552546,273079.1511,1995-02-22,0
5755617,272951.5677,1995-02-24,0
3104645,272927.6126,1995-02-17,0
4474341,272515.7712,1995-02-09,0
5897505,272278.5705,1995-01-17,0
4515552,272217.7452,1995-02-16,0
1364231,272007.1768,1995-01-21,0
3106791,271853.8656,1995-03-02,0
4965668,271778.0177,1995-02-22,0
1226308,271614.0856,1995-01-30,0
721988,271354.1762,1995-02-16,0
2618277,271304.5521,1995-02-07,0
1818531,271115.1011,1995-01-31,0
5807941,271014.1537,1995-03-01,0
3722465,270414.0401,1995-03-03,0
2286789,270242.769,1995-01-04,0
5275524,270142.886,1995-01-14,0
2740513,270122.4969,1995-03-01,0
1103232,270072.2717,1995-02-27,0
1838021,269909.9095,1995-01-18,0
2081380,269868.9047,1995-01-30,0
4360800,269776.1895,1995-03-02,0
5369415,269603.8552,1995-01-18,0
3859395,269363.9901,1995-02-24,0
1876102,269291.4587,1995-02-10,0
2725635,269043.2049,1995-02-28,0
4084418,268949.2335,1995-02-21,0
364069,268878.8165,1995-02-20,0
1745447,268795.1976,1995-03-03,0
1753728,268641.9515,1995-01-27,0
2291589,268582.8162,1995-02-22,0
3973954,268132.1797,1995-01-09,0
1538626,268057.802,1995-02-18,0
1461090,267948.7075,1995-02-26,0
4956480,267775.5237,1995-01-29,0
2279526,267421.6907,1995-01-09,0
548257,267384.772,1995-03-02,0
5167780,267302.7886,1995-03-01,0
4533063,267222.3238,1995-02-25,0
4387303,266448.6388,1995-01-31,0
4020737,266363.2125,1995-02-25,0
4429120,266354.9746,1995-01-24,0
5807301,266282.044,1995-03-01,0
4887075,266120.4627,1995-02-28,0
4430562,265886.6119,1995-02-25,0
1069923,265320.8345,1994-12-22,0
1633922,265047.8477,1995-03-01,0
3620709,264912.1673,1995-01-10,0
3388320,264822.1324,1995-03-02,0
1603617,264753.4195,1995-02-28,0
1042723,264747.7104,1995-02-13,0
3163553,264696.084,1995-02-08,0
3690503,264570.9563,1995-02-12,0
1413154,264331.9284,1995-01-09,0
5686052,264102.1668,1995-02-22,0
4224033,264097.3462,1995-01-06,0
2348262,264087.5225,1995-02-23,0
411520,263967.2569,1995-01-28,0
4891648,263797.9042,1995-01-08,0
3069990,263647.4549,1995-02-22,0
4985986,263343.3107,1995-02-16,0
5396806,263321.0752,1995-02-21,0
3507171,263178.778,1995-01-23,0
3579362,263174.4985,1995-02-15,0
5312453,263107.4308,1995-02-10,0
4762054,262987.2894,1995-02-12,0
2883779,262958.2381,1995-02-22,0
4400837,262880.9222,1995-02-22,0
3215783,262404.4995,1995-01-14,0
4759398,262027.9684,1995-01-31,0
2471364,262022.1276,1995-02-12,0
3189152,261790.9005,1995-01-06,0
4474049,261413.5124,1995-02-23,0
5884741,261195.9296,1995-02-26,0
4438311,261184.3834,1995-01-27,0
804998,261023.8208,1995-02-27,0
2270180,260992.3247,1995-02-21,0
2042272,260845.0056,1995-02-11,0
65986,260765.5585,1995-02-19,0
5667457,260688.9352,1995-02-04,0
3584484,260532.549,1995-02-15,0
5731777,260166.0238,1995-01-30,0
351590,260099.8787,1995-01-30,0
2109157,260083.0124,1995-02-24,0
5821826,259880.2599,1995-03-03,0
3749893,259486.6964,1995-02-19,0
5280261,259182.1263,1995-02-19,0
3254053,259081.0872,1995-02-20,0
843463,259055.3906,1995-02-10,0
3492804,258999.1959,1994-12-13,0
3545317,258710.715,1995-02-17,0
3344773,258574.2616,1995-03-02,0
2162823,258562.0424,1995-01-17,0
1462278,258430.7625,1995-02-10,0
5409632,258265.5904,1995-02-18,0
3597218,258129.8529,1995-02-21,0
5059173,258124.2054,1995-02-25,0
4833283,258015.1895,1995-02-14,0
3799648,257204.3073,1995-03-02,0
4955909,257129.2906,1995-01-27,0
1176613,257051.3115,1995-01-20,0
4117568,256945.7806,1995-02-04,0
5389703,256873.3453,1995-01-16,0
1866371,256558.4324,1995-02-23,0
4322661,256520.5255,1995-02-14,0
319844,256433.7114,1995-01-16,0
5425029,256373.0102,1995-02-19,0
4427969,256179.5348,1995-03-03,0
1969607,256138.1604,1995-02-27,0
3294660,256063.1613,1995-02-27,0
22849,255816.3236,1995-02-15,0
400007,255006.3053,1995-02-26,0
4739876,254781.2825,1995-02-08,0
2744548,254614.086,1995-01-24,0
4076644,254396.1978,1995-02-19,0
1691553,254097.3742,1995-02-25,0
3745888,253858.5464,1995-02-17,0
2936324,253719.3528,1995-02-09,0
1965248,253453.2554,1995-02-24,0
3116679,253311.8062,1995-02-19,0
3807173,253179.5204,1995-02-25,0
4969733,253065.2112,1995-02-21,0
363909,252999.9321,1995-02-26,0
536225,252794.9093,1995-01-28,0
1295748,252374.3885,1995-02-13,0
1727747,252192.535,1995-02-28,0
4942371,251937.3577,1995-03-02,0
4540064,251896.339,1995-01-27,0
5704517,251566.5562,1995-01-14,0
1005030,251489.9682,1995-02-14,0
983813,251374.6065,1995-02-26,0
5580738,251317.8394,1995-02-14,0
5418978,251276.3892,1995-02-24,0
3389184,251247.8373,1995-02-19,0
4499008,251227.6835,1995-01-16,0
748992,251054.6412,1995-02-27,0
1599430,250989.923,1995-01-29,0
2419616,250989.0452,1995-01-25,0
4162275,250888.8981,1995-01-31,0
3476837,250629.1744,1995-03-02,0
4298368,250420.8814,1995-02-17,0
5371687,250335.3839,1994-12-27,0
5456994,250304.895,1995-02-22,0
2179876,249871.8726,1995-03-01,0
5233029,249760.0868,1995-02-24,0
4978885,249725.9115,1995-01-12,0
3943143,249676.3212,1994-12-19,0
2905120,249577.8358,1995-01-06,0
5624548,249096.5656,1995-01-06,0
4240705,249064.5672,1995-01-09,0
4902432,249064.0696,1995-01-27,0
1344869,249036.8688,1995-02-05,0
1220039,248940.4892,1995-02-10,0
3234625,248915.3069,1995-02-17,0
5242048,248637.234,1995-01-13,0
4369792,248508.7564,1995-03-01,0
3325026,248370.7193,1995-03-01,0
3035396,248366.3283,1995-01-10,0
5406691,248233.7448,1995-02-28,0
3698150,248204.2785,1995-01-28,0
685568,248036.4505,1995-02-20,0
2696069,247916.1886,1995-02-01,0
4596103,247895.0705,1995-02-14,0
5017444,247841.3943,1995-01-27,0
416167,247816.8448,1995-02-22,0
5803590,247753.848,1995-02-15,0
1693442,247684.2235,1995-02-22,0
5376455,247604.7598,1995-02-19,0
318661,247361.9913,1994-12-31,0
3252064,247187.1347,1995-02-02,0
1040325,247001.8164,1995-02-22,0
4165859,246990.0459,1995-02-04,0
3359046,246801.5545,1995-02-10,0
5255461,246728.4431,1995-02-28,0
2675074,246684.2075,1995-02-19,0
5778084,246496.8065,1995-02-22,0
4833473,246475.5634,1995-01-17,0
1590823,246311.4081,1995-01-24,0
5998627,246292.0654,1995-02-21,0
251077,246269.8126,1995-02-18,0
1499461,246195.4383,1995-02-08,0
4656484,246172.9684,1995-02-09,0
2161511,246170.0863,1995-01-07,0
682371,246041.2285,1995-02-24,0
4262048,245894.2788,1995-01-15,0
3455653,245773.8284,1995-01-30,0
2136772,245728.0823,1995-02-05,0
2705796,245668.611,1995-02-15,0
2009184,245617.58,1995-01-15,0
2855584,245512.0364,1995-02-20,0
1447395,245444.5201,1994-12-18,0
3507558,245338.9429,1995-03-03,0
2508832,245239.6599,1995-01-23,0
5297987,245097.9342,1995-02-03,0
2169537,245090.8049,1995-02-14,0
4251270,245082.3312,1995-01-24,0
5059553,244984.319,1995-02-11,0
159777,244801.6554,1995-02-28,0
4342436,244704.8699,1995-02-18,0
952768,244665.4104,1995-03-03,0
5974055,244653.914,1995-02-08,0
4754976,244544.4,1995-02-27,0
3066757,244465.489,1995-01-08,0
972038,244361.8758,1995-02-11,0
597922,244311.9259,1995-01-21,0
1713189,244234.9469,1995-01-21,0
2733607,243985.39,1995-02-26,0
592577,243901.3862,1995-02-27,0
1564582,243810.337,1995-02-08,0
5214598,243760.4264,1995-01-16,0
569123,243712.4172,1995-01-06,0
4720994,243601.835,1995-02-20,0
3908389,243395.7906,1995-01-31,0
4184993,243372.0334,1995-03-03,0
2910944,243267.2136,1995-02-25,0
3661987,243227.9032,1995-02-18,0
5315712,243197.3392,1995-02-26,0
3367621,242725.1338,1995-02-27,0
4240678,242724.4676,1995-02-10,0
3121475,242493.8764,1995-02-08,0
5093031,242282.8328,1995-02-07,0
5928865,242164.0084,1995-02-03,0
2212419,242135.1886,1995-02-27,0
644128,241759.195,1995-02-07,0
4837346,241596.5014,1995-02-17,0
701154,241555.835,1995-02-23,0
3634118,241541.1537,1995-02-14,0
1422210,241477.3199,1995-02-19,0
1078017,241464.2873,1995-02-01,0
5094180,241458.6362,1995-01-24,0
4485223,241444.0422,1995-02-18,0
3103584,241277.937,1995-01-16,0
3650626,241266.3871,1995-01-01,0
2404289,241148.5434,1995-03-02,0
2575584,241128.3765,1995-02-16,0
1151238,241092.1744,1995-02-08,0
5328164,241064.7987,1995-02-24,0
3648677,241030.9188,1995-03-01,0
1079910,240548.5333,1995-02-18,0
4922502,240512.577,1995-01-17,0
1377286,240465.4629,1995-01-28,0
5397635,240424.5202,1995-01-21,0
3651173,240346.9132,1995-02-19,0
3389538,240239.74,1995-01-31,0
5628551,240171.1525,1995-02-13,0
5075557,240150.8672,1995-03-02,0
1331138,240109.4862,1995-02-26,0
1663360,240088.8497,1995-01-25,0
4515778,240027.3463,1995-01-22,0
2086435,240009.4615,1995-02-24,0
1823078,239980.5132,1995-01-26,0
3434022,239872.389,1995-02-27,0
3847073,239649.0726,1995-02-21,0
5283269,239569.1026,1995-01-22,0
2349728,239566.5595,1995-02-09,0
2209863,239436.5333,1995-01-04,0
4621601,239412.4862,1995-02-13,0
605953,238693.6625,1995-02-18,0
2271395,238632.2378,1995-01-17,0
269091,238599.0056,1995-02-18,0
4279776,238426.3313,1995-02-19,0
1047108,238426.195,1995-02-28,0
5434055,238350.5257,1995-01-08,0
4103970,238333.2621,1995-03-01,0
3359908,238298.907,1995-02-01,0
5862533,238294.9582,1995-02-12,0
2636130,238255.0525,1995-02-01,0
3414498,238050.0921,1995-02-26,0
3315685,237963.8492,1995-02-09,0
4467200,237955.9088,1995-01-07,0
3435809,237931.3705,1995-02-28,0
1437573,237898.3191,1995-01-23,0
5490468,237891.3888,1995-03-03,0
3617028,237867.4125,1994-12-22,0
5339874,237737.7567,1995-02-23,0
4749924,237707.2166,1995-02-10,0
5329569,237671.1179,1995-03-03,0
2199360,237649.9285,1995-02-03,0
379751,237632.8973,1995-03-01,0
829987,237613.2223,1995-03-01,0
5720740,237522.5706,1995-01-17,0
3653190,237455.1961,1995-03-03,0
3559366,237435.6766,1995-01-30,0
4249249,237253.455,1995-02-12,0
731812,237197.7558,1995-02-19,0
3176581,236993.718,1995-01-23,0
3480839,236858.0573,1995-01-27,0
1311040,236741.5127,1995-02-24,0
5672359,236531.3185,1995-02-18,0
2934240,236468.9868,1995-03-02,0
3812931,236386.7406,1995-02-16,0
434084,236358.9665,1995-02-10,0
3694850,236186.0659,1994-12-23,0
5901249,235898.374,1994-12-18,0
2328963,235697.063,1995-01-12,0
2058625,235678.784,1995-02-16,0
5198945,235525.4211,1995-02-03,0
5066371,235434.0592,1995-02-19,0
5261828,235275.6727,1995-02-19,0
580740,235220.4296,1995-01-12,0
200420,235208.749,1995-01-19,0
5890692,235069.5222,1995-02-23,0
258246,235032.8163,1995-02-08,0
4945927,235000.4358,1995-01-14,0
3037414,234933.8345,1995-01-25,0
4582631,234791.662,1995-02-15,0
3331393,234772.3513,1995-03-02,0
2701317,234756.8619,1995-02-03,0
5214819,234667.7731,1995-03-01,0
467172,234590.5528,1995-02-04,0
1367750,234576.0447,1995-01-11,0
5592738,234540.8041,1995-02-02,0
2330245,234422.0284,1995-03-02,0
3827202,234397.9013,1995-01-25,0
4616197,234334.3821,1994-12-27,0
4783046,234240.323,1995-02-14,0
3355780,234103.9479,1995-02-09,0
1831175,234061.3175,1995-03-02,0
3785827,233992.2896,1995-02-19,0
2556484,233914.2096,1995-01-02,0
3640773,233887.739,1995-02-26,0
1977729,233849.3967,1995-01-31,0
4711232,233685.6732,1995-02-01,0
5562375,233613.285,1995-02-14,0
178052,233602.1172,1995-01-28,0
21989,233573.6555,1995-02-11,0
3278979,233528.6088,1995-02-17,0
1447429,233525.4715,1995-02-19,0
5945827,233371.3062,1995-01-27,0
3904294,233351.5069,1995-03-03,0
4026176,233088.9743,1995-01-29,0
2563425,233063.4742,1995-02-13,0
5377670,232865.6773,1995-02-20,0
4868612,232855.2113,1995-02-25,0
3965445,232809.4667,1995-02-04,0
501536,232744.8739,1995-03-03,0
1054951,232633.1664,1995-01-08,0
2586374,232623.0582,1995-02-25,0
2294944,232582.6864,1995-02-11,0
4650851,232485.956,1995-02-01,0
5056292,232245.0086,1995-02-28,0
624035,232229.6945,1995-01-18,0
3871718,232118.1023,1995-02-24,0
4447361,232080.417,1995-02-04,0
5553542,231914.7864,1995-02-05,0
4551681,231903.369,1995-02-28,0
2853734,231669.0024,1995-02-06,0
5967683,231588.1086,1995-01-08,0
1527937,231527.1783,1995-02-04,0
3756263,231509.2381,1995-02-06,0
5813956,231464.3143,1995-02-16,0
1628578,231359.5267,1995-01-25,0
3636163,231349.676,1995-01-26,0
1091746,231314.5368,1995-02-27,0
4584129,231188.7978,1995-02-25,0
4231459,231036.112,1995-02-25,0
2528707,231024.5758,1995-02-23,0
3389698,231002.2482,1995-02-20,0
45059,230798.1463,1995-02-04,0
5884324,230711.1077,1995-02-25,0
3291395,230643.4641,1995-02-16,0
4692449,230630.9572,1995-02-14,0
1819975,230587.1338,1995-02-26,0
2170916,230519.3948,1995-02-07,0
3569794,230391.174,1995-02-14,0
2250657,230336.6996,1995-02-05,0
264007,230328.6714,1995-02-28,0
5439943,230322.9937,1995-01-02,0
5199171,230251.6269,1995-01-29,0
2078752,230235.4953,1995-01-30,0
2913668,230035.4138,1995-02-20,0
974695,229677.4346,1995-02-24,0
3386177,229555.2754,1995-02-12,0
2830465,229425.8658,1995-01-31,0
247040,229373.5758,1995-02-24,0
3598629,229283.5776,1995-01-16,0
1566854,229273.1912,1995-02-08,0
1178947,229270.2248,1995-01-31,0
5820960,229269.1761,1995-01-04,0
5039458,229108.3439,1995-01-28,0
5991841,229094.9184,1995-02-01,0
5810119,229014.107,1995-02-09,0
4626343,228900.9169,1995-02-15,0
534439,228891.0576,1995-03-03,0
3202209,228663.835,1995-02-19,0
526179,228595.5162,1995-02-07,0
924071,228275.7889,1995-02-22,0
3392579,228251.0347,1995-01-23,0
474407,228248.6637,1995-01-23,0
4432647,228204.7127,1995-01-10,0
1363457,227987.8582,1995-02-05,0
2978340,227814.9248,1995-02-15,0
528320,227560.4837,1995-02-19,0
3501088,227493.8361,1995-01-19,0
2896256,227415.6147,1995-02-17,0
2978048,227350.3529,1995-02-10,0
1842819,227322.3871,1995-02-26,0
669666,227295.0532,1995-02-26,0
5719847,227201.4528,1995-02-28,0
214757,227133.0212,1995-02-25,0
3697443,227115.4405,1995-02-23,0
2048226,227040.2555,1995-01-28,0
4640036,227038.6488,1995-02-26,0
3301476,227020.5192,1995-02-01,0
2447041,226735.0743,1995-02-18,0
2011078,226627.1004,1995-02-04,0
5896929,226611.9029,1995-02-10,0
2061797,226570.7539,1995-02-10,0
83267,226434.005,1995-02-01,0
5748100,226384.7569,1994-12-16,0
1388769,226283.0164,1995-02-28,0
4192454,226247.5216,1995-01-13,0
2954144,226227.7422,1995-02-24,0
1564775,226227.2992,1995-03-03,0
1134662,226216.0272,1995-01-15,0
4554560,226020.3635,1995-03-01,0
2125767,226016.0645,1995-02-01,0
5367200,226014.7015,1995-02-08,0
4913189,225993.5315,1995-02-23,0
1616452,225940.4838,1995-02-27,0
4682689,225921.712,1995-02-28,0
2572518,225913.3101,1995-01-28,0
4096261,225794.3684,1995-02-20,0
2892225,225746.4023,1995-02-13,0
4512678,225697.1737,1995-01-23,0
5084132,225671.0886,1995-03-02,0
636001,225669.1353,1995-03-01,0
2273507,225594.404,1995-03-03,0
551143,225534.2492,1995-01-17,0
3557504,225499.8678,1995-02-20,0
4943938,225495.0068,1995-02-24,0
1832805,225392.33,1995-02-03,0
4414886,225325.9166,1995-01-08,0
2986848,225288.1737,1995-02-06,0
5892261,225233.3084,1995-01-25,0
772550,225201.6821,1995-02-20,0
2765956,225056.051,1995-01-21,0
335014,224975.2359,1995-01-10,0
841345,224896.3254,1995-03-02,0
614626,224836.8247,1995-01-18,0
5024965,224724.5171,1995-02-07,0
3006562,224661.8356,1995-02-22,0
5994118,224600.0828,1995-02-28,0
1218369,224417.8752,1995-02-10,0
3335554,224309.6434,1994-12-27,0
2633445,224040.865,1995-01-19,0
3413638,223853.0366,1995-01-23,0
3373637,223800.2259,1995-01-07,0
3748835,223787.1632,1995-01-30,0
4561473,223685.5545,1995-01-12,0
5884738,223600.6289,1995-01-29,0
4810820,223538.3942,1995-02-20,0
3721794,223487.7128,1995-02-05,0
5417351,223317.0327,1995-03-01,0
1083682,223269.9469,1995-02-20,0
937600,223250.0143,1995-02-03,0
5337701,223149.543,1995-02-22,0
3951169,223035.4307,1995-03-03,0
4897796,223027.8619,1995-02-09,0
1712324,222973.4196,1995-02-10,0
5306691,222773.9,1995-02-24,0
3849796,222733.3515,1995-01-27,0
5488065,222729.2022,1995-01-25,0
1300004,222710.8669,1995-01-13,0
5252035,222701.7008,1995-01-10,0
3408487,222676.0279,1995-01-08,0
3785058,222662.0754,1995-01-24,0
1022689,222640.0332,1995-01-14,0
1417824,222639.7656,1995-02-08,0
3015015,222623.9994,1995-01-20,0
5367232,222509.502,1995-02-04,0
1261058,222454.1093,1995-02-26,0
5629412,222384.5477,1995-02-13,0
4382503,222332.6752,1995-02-20,0
2024743,222294.1496,1995-01-28,0
1387783,222126.7965,1995-02-22,0
2896836,222120.2672,1995-02-27,0
580160,221891.6994,1995-01-11,0
1875620,221865.2728,1995-02-01,0
350212,221812.7532,1995-02-16,0
5683905,221770.4576,1995-01-13,0
1942309,221508.1663,1995-02-05,0
2036769,221502.5527,1995-02-03,0
3796385,221466.4475,1995-02-08,0
2413377,221434.9451,1995-02-22,0
5769894,221421.8134,1995-02-15,0
3326563,221413.2134,1995-03-01,0
5970342,221402.6369,1995-01-30,0
5940257,221325.8947,1995-02-28,0
2154919,221311.9608,1995-02-13,0
1160839,221306.1704,1995-02-01,0
3378144,221154.9906,1995-02-15,0
2488769,221093.691,1995-02-04,0
5966754,221090.5682,1994-12-21,0
1438982,221006.451,1995-02-05,0
94914,220827.8755,1995-02-15,0
3428934,220759.3952,1995-02-24,0
5685125,220713.4081,1995-02-28,0
1160416,220693.3186,1995-02-17,0
469826,220665.0926,1995-02-23,0
1938466,220539.5704,1995-02-25,0
2817030,220526.0527,1995-01-04,0
2363589,220424.8004,1995-02-12,0
5698532,220416.4126,1995-02-26,0
5812070,220280.2583,1995-01-02,0
1773573,220220.5898,1995-02-21,0
420772,220112.4311,1995-02-17,0
4494567,220068.8794,1995-02-16,0
5146887,219788.3596,1995-02-05,0
5666054,219761.0872,1995-03-03,0
2197024,219720.8364,1995-01-14,0
4604197,219716.915,1994-12-27,0
1398660,219473.4858,1995-02-18,0
5911495,219451.2375,1995-01-25,0
